ID:0;CPU:413;SZ:4513
ID:1;CPU:115;SZ:2611
ID:2;CPU:438;SZ:4242
ID:3;CPU:285;SZ:7245
ID:4;CPU:202;SZ:13035
ID:5;CPU:102;SZ:9041
ID:6;CPU:193;SZ:11628
ID:7;CPU:126;SZ:1936
ID:8;CPU:178;SZ:10319
ID:9;CPU:101;SZ:2494
ID:10;CPU:459;SZ:9046
ID:11;CPU:95;SZ:11081
ID:12;CPU:165;SZ:9068
ID:13;CPU:201;SZ:12988
ID:14;CPU:91;SZ:8059
ID:15;CPU:83;SZ:9013
ID:16;CPU:504;SZ:11610
ID:17;CPU:458;SZ:7887
ID:18;CPU:32;SZ:11175
ID:19;CPU:183;SZ:15939
ID:20;CPU:391;SZ:5374
ID:21;CPU:260;SZ:3990
ID:22;CPU:449;SZ:15327
ID:23;CPU:47;SZ:6159
ID:24;CPU:130;SZ:3182
ID:25;CPU:223;SZ:10212
ID:26;CPU:376;SZ:2946
ID:27;CPU:86;SZ:4545
ID:28;CPU:275;SZ:12864
ID:29;CPU:46;SZ:5708
ID:30;CPU:492;SZ:14358
ID:31;CPU:446;SZ:6218
ID:32;CPU:480;SZ:5231
ID:33;CPU:276;SZ:10046
ID:34;CPU:507;SZ:12835
ID:35;CPU:267;SZ:13447
ID:36;CPU:160;SZ:15858
ID:37;CPU:402;SZ:4020
ID:38;CPU:405;SZ:15300
ID:39;CPU:294;SZ:8500
ID:40;CPU:73;SZ:7667
ID:41;CPU:452;SZ:277
ID:42;CPU:91;SZ:3882
ID:43;CPU:340;SZ:3032
ID:44;CPU:134;SZ:3847
ID:45;CPU:304;SZ:9637
ID:46;CPU:335;SZ:3957
ID:47;CPU:59;SZ:6655
ID:48;CPU:343;SZ:2368
ID:49;CPU:27;SZ:14072
ID:50;CPU:145;SZ:14943
ID:51;CPU:273;SZ:7991
ID:52;CPU:276;SZ:3146
ID:53;CPU:116;SZ:10007
ID:54;CPU:148;SZ:15755
ID:55;CPU:245;SZ:7009
ID:56;CPU:397;SZ:14381
ID:57;CPU:306;SZ:2277
ID:58;CPU:497;SZ:8551
ID:59;CPU:300;SZ:11013
ID:60;CPU:64;SZ:12614
ID:61;CPU:141;SZ:12157
