ID:0;CPU:463;SZ:3857
ID:1;CPU:207;SZ:13829
ID:2;CPU:451;SZ:998
ID:3;CPU:249;SZ:15063
ID:4;CPU:184;SZ:5552
ID:5;CPU:85;SZ:12315
ID:6;CPU:459;SZ:8740
ID:7;CPU:212;SZ:4018
ID:8;CPU:398;SZ:4865
ID:9;CPU:453;SZ:9047
ID:10;CPU:316;SZ:11127
ID:11;CPU:44;SZ:5538
ID:12;CPU:168;SZ:12158
ID:13;CPU:92;SZ:6955
ID:14;CPU:373;SZ:15993
ID:15;CPU:173;SZ:15820
ID:16;CPU:366;SZ:12736
ID:17;CPU:496;SZ:3335
ID:18;CPU:67;SZ:2698
ID:19;CPU:53;SZ:14617
ID:20;CPU:219;SZ:16093
ID:21;CPU:367;SZ:6980
ID:22;CPU:372;SZ:7309
ID:23;CPU:299;SZ:3314
ID:24;CPU:499;SZ:5139
ID:25;CPU:420;SZ:3441
ID:26;CPU:25;SZ:9088
ID:27;CPU:83;SZ:4157
ID:28;CPU:384;SZ:12973
ID:29;CPU:384;SZ:7929
ID:30;CPU:115;SZ:14656
ID:31;CPU:295;SZ:15275
ID:32;CPU:94;SZ:12565
ID:33;CPU:181;SZ:9994
ID:34;CPU:66;SZ:11709
ID:35;CPU:51;SZ:2622
ID:36;CPU:396;SZ:15274
ID:37;CPU:141;SZ:9143
ID:38;CPU:100;SZ:14172
ID:39;CPU:261;SZ:10033
ID:40;CPU:125;SZ:6972
ID:41;CPU:250;SZ:2837
ID:42;CPU:200;SZ:2772
ID:43;CPU:290;SZ:9316
ID:44;CPU:251;SZ:10007
ID:45;CPU:120;SZ:2600
ID:46;CPU:340;SZ:12140
ID:47;CPU:61;SZ:10914
ID:48;CPU:46;SZ:2032
ID:49;CPU:235;SZ:2632
ID:50;CPU:112;SZ:2656
ID:51;CPU:210;SZ:3719
ID:52;CPU:218;SZ:11911
ID:53;CPU:464;SZ:5967
ID:54;CPU:484;SZ:6640
ID:55;CPU:30;SZ:15310
ID:56;CPU:20;SZ:800
ID:57;CPU:372;SZ:12649
ID:58;CPU:30;SZ:14186
ID:59;CPU:336;SZ:230
ID:60;CPU:387;SZ:14085
ID:61;CPU:290;SZ:7539
ID:62;CPU:334;SZ:7282
ID:63;CPU:56;SZ:4201
ID:64;CPU:354;SZ:8854
ID:65;CPU:159;SZ:9184
ID:66;CPU:297;SZ:5437
ID:67;CPU:169;SZ:15264
ID:68;CPU:466;SZ:14183
ID:69;CPU:55;SZ:12015
ID:70;CPU:227;SZ:16131
ID:71;CPU:178;SZ:13086
ID:72;CPU:236;SZ:3983
ID:73;CPU:212;SZ:5747
ID:74;CPU:191;SZ:4457
ID:75;CPU:357;SZ:9877
ID:76;CPU:132;SZ:1942
ID:77;CPU:180;SZ:12142
ID:78;CPU:219;SZ:5626
ID:79;CPU:326;SZ:2793
ID:80;CPU:499;SZ:3300
ID:81;CPU:184;SZ:7287
ID:82;CPU:450;SZ:11110
ID:83;CPU:459;SZ:15736
ID:84;CPU:174;SZ:5744
ID:85;CPU:494;SZ:15843
ID:86;CPU:18;SZ:4904
ID:87;CPU:251;SZ:14201
